pair,category,metric_a,metric_b,metric_c,mi,network
"('CardiacMixing', 'GruntingReport')",no_edge,0.7074180249661275,0.45715256669237836,0.4133081158972126,0.007400991863078674,child
"('CardiacMixing', 'HypDistrib')",mec_edge,1.0752865342125835,0.6948790979259705,1.7385117737557503e-09,0.03832222473904674,child
"('CardiacMixing', 'HypoxiaInO2')",pc_solved,0.16554272849269802,0.10697816645443858,6.677279028679486e-06,0.20190671217224576,child
"('CardiacMixing', 'LVH')",no_edge,0.6800180870192644,0.43944598936814333,9.623749298379426e-22,0.05451926214474855,child
"('CardiacMixing', 'LVHreport')",no_edge,0.6554283055879024,0.4235554108148332,2.810694997253397e-16,0.0396664456375573,child
"('CardiacMixing', 'LowerBodyO2')",no_edge,0.09887313436538658,0.0638944804300418,0.24427400271630262,0.01406069720977942,child
"('CardiacMixing', 'LungFlow')",no_edge,0.051934259910996206,0.0335613164772242,4.7203962638489065e-17,0.20530666120119292,child
"('CardiacMixing', 'LungParench')",no_edge,0.4131638886951179,0.2669976244818207,0.0159473975281832,0.018285805220513096,child
"('CardiacMixing', 'RUQO2')",no_edge,0.07040804285622393,0.04549957220704295,0.024470936885274297,0.027061297237827152,child
"('CardiacMixing', 'Sick')",no_edge,0.6356121822077805,0.4107496985691645,0.036196062417776176,0.0011124026637204243,child
"('CardiacMixing', 'XrayReport')",no_edge,0.6597137819314249,0.29889741850952645,4.993016785211695e-06,0.07711303148119922,child
"('ChestXray', 'Disease')",no_edge,0.025194662110235688,0.01147407551623171,1.0533751572887448e-10,0.23609869049654053,child
"('ChestXray', 'DuctFlow')",no_edge,0.8112523082612411,0.37374642542140224,6.336358467813491e-07,0.08785249342400735,child
"('ChestXray', 'Grunting')",no_edge,1.4014026675801654,0.6456305051466671,0.005067664702863991,0.049429048795195926,child
"('ChestXray', 'GruntingReport')",no_edge,1.3305694601000562,0.6129974293116477,0.0017731837116244764,0.031726794753602766,child
"('ChestXray', 'HypDistrib')",no_edge,1.6984379693465117,0.7824755792729645,0.3054981720865725,0.0012424851866579406,child
"('ChestXray', 'HypoxiaInO2')",no_edge,0.788694163626626,0.36335381903314257,6.310701092928656e-09,0.02622867180383979,child
"('ChestXray', 'LVH')",no_edge,1.3031695221531923,0.6003741939012521,4.291939679336286e-08,0.019863863246695257,child
"('ChestXray', 'LVHreport')",no_edge,1.2785797407218307,0.5890456062124692,2.5705410085898864e-09,0.01973307082264074,child
"('ChestXray', 'LowerBodyO2')",no_edge,0.7220245694993148,0.3326389326338864,0.46063403872271436,0.0035030933342207957,child
"('ChestXray', 'LungFlow')",pc_solved,0.675085695044924,0.31101404927517773,0.004549904814257531,0.37571563492747223,child
"('ChestXray', 'LungParench')",pc_solved,1.036315323829046,0.4774336466550968,2.6133950149370588e-12,0.23889500364660698,child
"('ChestXray', 'RUQO2')",no_edge,0.6935594779901519,0.31952497771196503,0.11077071033042374,0.004466867993085544,child
"('ChestXray', 'Sick')",no_edge,1.2587636173417085,0.5799162574221973,2.6797303286871387e-05,0.01503314579142967,child
"('ChestXray', 'XrayReport')",pc_solved,0.03656234679749626,0.016565352084091725,4.767651596592771e-37,0.7139193048891668,child
"('Disease', 'DuctFlow')",pc_solved,0.8364469703714761,0.3809321062284271,6.712054841905524e-20,0.4350896147055149,child
"('Disease', 'Grunting')",no_edge,1.4265973296904007,0.649696567491263,0.12920265749754542,0.03056964762881164,child
"('Disease', 'GruntingReport')",no_edge,1.3557641222102916,0.6174379260327016,0.07623173716822856,0.021812754983482133,child
"('Disease', 'HypDistrib')",no_edge,1.7236326314567476,0.7849714709030111,0.9649908911239743,0.04913450552709659,child
"('Disease', 'HypoxiaInO2')",no_edge,0.8138888257368617,0.3706587453906768,2.4118184095644054e-07,0.10693557487608354,child
"('Disease', 'LVH')",pc_solved,1.3283641842634277,0.6049595305786641,1.6097159082255077e-22,0.2995337942074973,child
"('Disease', 'LVHreport')",no_edge,1.3037744028320657,0.5937609279605145,7.959705912271451e-14,0.23179786311005268,child
"('Disease', 'LowerBodyO2')",no_edge,0.7472192316095505,0.34029628391743816,0.9413373902670807,0.011582341993280554,child
"('Disease', 'LungFlow')",pc_solved,0.7002803571551595,0.31891952610341706,5.225248710246843e-27,0.40648737864258855,child
"('Disease', 'LungParench')",pc_solved,1.0615099859392818,0.48342961245561805,0.0020598622207612495,0.15198281607538577,child
"('Disease', 'RUQO2')",no_edge,0.7187541401003879,0.32733279950460736,0.21698639348022125,0.012319942737592626,child
"('Disease', 'Sick')",mec_edge,1.283958279451944,0.5847363300076762,0.414868390228833,0.037800133038044394,child
"('Disease', 'XrayReport')",no_edge,0.011367684687261015,0.005150372328898508,0.0004176323436508016,0.1477654129451125,child
"('DuctFlow', 'Grunting')",no_edge,0.5901503593189246,0.4341437570367785,0.004851982069762594,0.006288059089963022,child
"('DuctFlow', 'GruntingReport')",no_edge,0.5193171518388149,0.3820353505386951,0.06691633585622199,0.002048770646937592,child
"('DuctFlow', 'HypDistrib')",pc_solved,0.8871856610852709,0.6526575982046787,0.9985772483573141,0.08045421291262245,child
"('DuctFlow', 'HypoxiaInO2')",no_edge,0.02255814463461503,0.01632399078005418,2.2453974982161175e-05,0.0620176405272707,child
"('DuctFlow', 'LVH')",no_edge,0.49191721389195187,0.3618786026608254,4.398877781736587e-27,0.06513476149893234,child
"('DuctFlow', 'LVHreport')",no_edge,0.4673274324605896,0.3437891447341285,3.2912145323233953e-21,0.04946652759051415,child
"('DuctFlow', 'LowerBodyO2')",no_edge,0.08922773876192602,0.06159707959853813,0.018358825339946497,0.0030997267466950293,child
"('DuctFlow', 'LungFlow')",no_edge,0.13616661321631662,0.09105029802164936,4.216930566371176e-10,0.18447699291200242,child
"('DuctFlow', 'LungParench')",no_edge,0.2250630155678055,0.16556747209541287,6.697676832779412e-06,0.0184594451906107,child
"('DuctFlow', 'RUQO2')",no_edge,0.1176928302710889,0.07968176043717605,0.09517531675217349,0.004215407687359937,child
"('DuctFlow', 'Sick')",no_edge,0.4475113090804679,0.32921142548292115,0.014467332774958323,0.0082967507941904,child
"('DuctFlow', 'XrayReport')",no_edge,0.8478146550587371,0.3841205363782177,0.03786780305493742,0.06379663500654825,child
"('Grunting', 'GruntingReport')",mec_edge,0.07083320748010968,0.08432263325015046,0.00022081695767603784,0.176724576276536,child
"('Grunting', 'HypDistrib')",no_edge,0.2970353017663462,0.3861649383306403,0.0,0.000556533714334867,child
"('Grunting', 'HypoxiaInO2')",no_edge,0.6127085039535394,0.4433807891297462,0.0008992442025631785,0.003684688865609201,child
"('Grunting', 'LVH')",no_edge,0.09823314542697281,0.11324671869221564,0.0,1.4693900797724258e-05,child
"('Grunting', 'LVHreport')",no_edge,0.12282292685833496,0.13769143191945782,0.0,0.0002667713939677463,child
"('Grunting', 'LowerBodyO2')",no_edge,0.679378098080851,0.46899884907591377,0.08525413656824612,0.0018100361716397173,child
"('Grunting', 'LungFlow')",no_edge,0.7263169725352414,0.48566513659599064,0.02434049004716184,0.0036084437500044364,child
"('Grunting', 'LungParench')",mec_edge,0.3650873437511193,0.32186698859380497,1.3413344154230988e-12,0.15479450456300975,child
"('Grunting', 'RUQO2')",no_edge,0.7078431895900135,0.47923217863045436,0.09558254871080318,0.00027580535154947405,child
"('Grunting', 'Sick')",mec_edge,0.1426390502384569,0.15643130419954052,1.0519724388754626e-09,0.02038600440199792,child
"('Grunting', 'XrayReport')",no_edge,1.4379650143776614,0.6515007605967742,0.07507574384612199,0.019290040185020105,child
"('GruntingReport', 'HypDistrib')",no_edge,0.36786850924645587,0.4379251271118692,0.0,9.274907919376574e-05,child
"('GruntingReport', 'HypoxiaInO2')",no_edge,0.5418752964734297,0.3921229997789008,0.011880356800084667,0.0033161464683368613,child
"('GruntingReport', 'LVH')",no_edge,0.027399937946863018,0.03158763827998693,0.0,0.0010464470365658118,child
"('GruntingReport', 'LVHreport')",no_edge,0.051989719378225274,0.058283409208570065,0.0,0.002588935261657349,child
"('GruntingReport', 'LowerBodyO2')",no_edge,0.6085448906007416,0.4201001682406458,0.05834461578998292,0.002256047551959642,child
"('GruntingReport', 'LungFlow')",no_edge,0.6554837650551316,0.43830121603899097,0.37013856304351955,0.004010905686202021,child
"('GruntingReport', 'LungParench')",no_edge,0.2942541362710097,0.25941927142614235,1.1114360651591028e-10,0.06326280998739686,child
